Управление ресурсами ИТ	Управление качеством ресурсов ИТ
	Управление ИТ-инфраструктурой
	Управление расходами на ИТ
	Управление изменениями ресурсов ИТ
	Управление отношениями с поставщиками и потребителями ресурсов ИТ
	Управление персоналом, обслуживающим ресурсы ИТ
	Управление информационной безопасностью ресурсов ИТ
Управление сервисами ИТ	Управление договорами об уровне предоставления сервисов ИТ (SLA)
	Управление ИТ-проектами
	Управление моделью предоставления сервисов ИТ
	Управление изменениями сервисов ИТ
	Управление отношениями с пользователями и поставщиками сервисов ИТ
	Управление персоналом, осуществляющим предоставление сервисов ИТ
	Управление непрерывностью сервисов ИТ
Управление информационной средой	Управление стратегией ИТ
	Управление программами и портфелями ИТ-проектов
	Управление формированием и внедрением системы показателей оценки эффективности ИТ
	Управление изменениями информационной среды
	Управление отношениями с поставщиками и потребителями информации
	Управление персоналом, обслуживающим и развивающим информационную среду
	Управление рисками ИТ
Управление ИТ-инновациями	Управление формированием вклада ИТ в создание и реализацию инновационной стратегии
	Управление выявлением и внедрением ИТ-инноваций
	Управление оценкой эффективности ИТ-инноваций
	Управление знаниями с помощью ИТ
	Управление взаимоотношениями с заинтересованными лицами
	Управление персоналом, обеспечивающим инновации ИТ
	Управление рисками инновационного отставания в ИТ
