Разработка и сопровождение требований к отдельным функциям системы	Подготовка протоколов совещаний и интервью
	Сбор и обработка результатов проектных исследований
	Изучение работы системы или ее аналогов
	Сопровождение функционального тестирования системы
	Сопровождение разработки пользовательской документации системы
	Техническая поддержка систем
	Выявление требований к функциям системы
	Формализация и документирование требований к функциям системы
	Апробация реализации требований к функциям системы
	Консультирование пользователей по работе с функциями системы
	Консультирование заинтересованных лиц по требованиям к функциям системы
	Обработка запросов на изменение к функциям системы
	Разработка разделов пользовательской документации, описывающих работу функций системы
	Разработка разделов проектной документации, описывающих работу функций системы
Создание и сопровождение требований и технических заданий на разработку и модернизацию систем и подсистем малого и среднего масштаба и сложности	Планирование разработки или восстановления требований к системе и подсистеме
	Выявление требований к системе и подсистеме
	Формализация и документирование требований к системе и подсистеме
	Анализ требований к системе и подсистеме
	Представление требований к системе и подсистеме и изменений в них заинтересованным лицам
	Согласование требований к системе и подсистеме
	Разработка (частного) технического задания на систему и подсистему
	Сопровождение предварительного тестирования системы и подсистемы
	Обработка запросов на изменение требований к системе и подсистеме
	Разработка регламентов эксплуатации системы и подсистемы
	Сопровождение приемочных испытаний и ввода в эксплуатацию системы и подсистемы
	Обучение пользователей работе с системой и подсистемой
	Формирование и предоставление отчетности о ходе работ по разработке требований к системе и подсистеме
	Выявление рисков и сообщение о них руководителю проекта
	Поддержка заинтересованных лиц по требованиям к подсистеме
Концептуальное, функциональное и логическое проектирование систем среднего и крупного масштаба и сложности	Планирование разработки или восстановления требований к системе
	Анализ проблемной ситуации заинтересованных лиц
	Разработка бизнес-требований к системе
	Постановка целей создания системы
	Разработка концепции системы
	Разработка технического задания на систему
	Организация оценки соответствия требованиям существующих систем и их аналогов
	Представление концепции, технического задания и изменений в них заинтересованным лицам
	Организация согласования требований к системе
	Разработка шаблонов документов требований
	Постановка задачи на разработку требований к подсистемам системы и контроль их качества
	Сопровождение приемочных испытаний и ввода в эксплуатацию системы
	Обработка запросов на изменение требований к системе
Управление аналитическими работами и подразделением	Разработка технико-коммерческого предложения и участие в его защите
	Разработка методик выполнения аналитических работ
	Планирование аналитических работ в информационно-технологическом (далее – ИТ) проекте
	Организация аналитических работ в ИТ-проекте
	Контроль аналитических работ в ИТ-проекте
	Составление отчетов об аналитических работах в ИТ-проекте
	Оценка квалификации, аттестация и планирование профессионального развития системных аналитиков
	Управление процессами разработки и сопровождения требований к системам и управление качеством систем
	Управление аналитическими ресурсами и компетенциями
	Управление инфраструктурой разработки и сопровождения требований к системам
