Техническая поддержка процессов сопровождения интеграционных решений	Мониторинг функционирования интеграционного решения в соответствии с трудовым заданием
	Работа с обращениями пользователей по вопросам функционирования интеграционного решения в соответствии с трудовым заданием
Техническая поддержка процессов создания (модификации) интеграционных решений	Тестирование интеграционного решения в соответствии с техническим заданием
	Проведение испытаний интеграционного решения
	Ввод в эксплуатацию интеграционного решения
Выполнение работ по созданию (модификации) и сопровождению интеграционных решений	Инженерно-технологическая поддержка процесса согласования требований к интеграционному решению
	Конфигурирование интеграционного решения на базе интеграционной платформы
	Исправление ошибок в процессе эксплуатации интеграционного решения
	Разработка технической документации на интеграционное решение
Выполнение работ и управление работами по созданию (модификации) и сопровождению интеграционных решений	Согласование требований к интеграционному решению
	Руководство работами по созданию интеграционного решения в соответствии с техническим заданием
	Руководство работами по вводу в эксплуатацию и сопровождению интеграционного решения
	Руководство проверкой работоспособности интеграционного решения
	Руководство разработкой проектной и технической документации на интеграционное решение
	Управление процессами оценки сложности, трудоемкости, сроков выполнения работ
